nct_id,start_date,status,phase,study_type,brief_title,condition_names,intervention_names,gender,minimum_age,maximum_age,healthy_volunteers,zip_codes,primary_purpose
NCT04306393,2020-03-21,Recruiting,Phase 2,Interventional,Nitric Oxide Gas Inhalation in Severe Acute Respiratory Syndrome in COVID-19,Coronavirus|SARS (Severe Acute Respiratory Syndrome),Nitric Oxide Gas,All,18,99,No,02114|35294|71103,Treatment
NCT04305457,2020-03-21,Recruiting,Phase 2,Interventional,Nitric Oxide Gas Inhalation Therapy for Mild/Moderate COVID-19,"Acute Respiratory Distress Syndrome|Coronavirus Infections|Pneumonia, Viral",Nitric Oxide,All,18,,No,02114-2621,Treatment
NCT04321811,2020-03-21,Recruiting,,Observational [Patient Registry],"Behavior, Environment And Treatments for Covid-19",Coronavirus,"Observation of patients with known, suspected, or at risk for COVID-19 infection",All,18,,,94022,
NCT04323839,2020-03-20,Recruiting,,Observational [Patient Registry],COVID-19 PRIORITY (Pregnancy CoRonavIrus Outcomes RegIsTrY),Coronavirus|COVID-19|Pregnancy,Postpartum women under investigation for Coronavirus or diagnosed with COVID-19|Pregnant women under investigation for Coronavirus or diagnosed with COVID-19,Female,18,,No,94143,
NCT04319731,2020-03-20,Recruiting,Early Phase 1,Interventional,A Pilot Study of Human Amniotic Fluid for COVID19 Associated Respiratory Failure,SARS CoV-2 Infection,Human Amniotic Fluid,All,18,,No,84132,Treatment
NCT04315298,2020-03-18,Recruiting,Phase 2/Phase 3,Interventional,Evaluation of the Efficacy and Safety of Sarilumab in Hospitalized Patients With COVID-19,COVID-19,Placebo|Sarilumab,All,18,,No,02111|02114|02115|02215|06520|07039|07112|07601|07666|07753|07960|08820|10003|10016|10025|10029|10032|10037|10065|10075|10451|10461|10467|10595|11030|11219|11373|11794|17822|18510|18711|19140|20010|21205|22042|30033|30060|30322|32610|32803|33146|48109|48236|55905|60611|60612|70112|74104|75246|75390|80045|80206|84107|90095|90404|95817|97213|97239|98055|98201,Treatment
NCT04308668,2020-03-17,Recruiting,Phase 3,Interventional,Post-exposure Prophylaxis / Preemptive Therapy for SARS-Coronavirus-2,Acute Respiratory Distress Syndrome|Coronavirus|Corona Virus Infection|Coronavirus Infections|SARS-CoV Infection,Hydroxychloroquine|Placebo,All,18,,No,10001|55455,Treatment
NCT04292730,2020-03-15,Recruiting,Phase 3,Interventional,Study to Evaluate the Safety and Antiviral Activity of Remdesivir (GS-5734™) in Participants With Moderate Coronavirus Disease (COVID-19) Compared to Standard of Care Treatment,COVID-19,Remdesivir|Standard of Care,All,12,,No,02111|02115|02215|02906|03756|04102|06510|07112|07503|07601|08844|08901|10003|10025|10029|10032|10065|10461|10468|11040|11303|11418|12540|18038|19104|19140|20910|22042|22205|23298|27710|29203|44106|46077|48109-5378|48202|52242|55415|55905|59802|60612|60637|70112|75203|75235|75246|75390|76104|76508|77030|80026|80045|80208|80218|80220|84132|90027|90034|90241|90404|90710|91365|91402|91761|92120-2507|92335|92505|92555|92658|92691|92806|92868|94040|94109|94115|94305|94611|95403|95540|95661|95815|97124|97213|97225|97227|98101|98104|98201|98405|98506|99204|99336,Treatment
NCT04321369,2020-03-09,Completed,,Observational,Impact of Swab Site and Sample Collector on Testing Sensitivity for COVID-19 Virus in Symptomatic Individuals,"Cough|Fever|Infections, Respiratory",Testing Sensitivity for SARS-CoV-2 Virus in Symptomatic Individuals,All,,,No,98133,
NCT04292899,2020-03-06,Recruiting,Phase 3,Interventional,Study to Evaluate the Safety and Antiviral Activity of Remdesivir (GS-5734™) in Participants With Severe Coronavirus Disease (COVID-19),COVID-19,Remdesivir|Standard of Care,All,12,,No,02111|02115|02215|02906|03756|04102|06510|07112|07503|07601|08844|08901|10003|10025|10029|10032|10065|10461|10468|11030|11418|12540|18038|19104|19140|20910|22042|22205|23298|27710|29203|44106|46077|48109-5378|48202|52242|55415|55905|59802|60612|60637|70112|75203|75235|75246|75390|76104|76508|77030|80026|80045|80208|80218|80220|84132|90027|90034|90241|90404|90710|91365|91402|91761|92120-2507|92335|92505|92555|92658|92691|92806|92868|94040|94109|94115|94305|94611|95403|95540|95661|95815|97124|97213|97225|97227|98101|98104|98201|98405|98506|99204|99336,Treatment
NCT04283461,2020-03-03,Recruiting,Phase 1,Interventional,Safety and Immunogenicity Study of 2019-nCoV Vaccine (mRNA-1273) for Prophylaxis SARS CoV-2 Infection (COVID-19),Corona Virus Infection|Immunisations,mRNA-1273,All,18,55,Accepts Healthy Volunteers,20892|30030-1705|98101-1466,Prevention
NCT04339387,2020-03-01,Recruiting,,Observational,COVID-19 Risk Stratification,Coronavirus|Coronavirus Sars-Associated as Cause of Disease Classified Elsewhere,,All,18,,No,02115,
NCT04280705,2020-02-21,Recruiting,Phase 3,Interventional,Adaptive COVID-19 Treatment Trial (ACTT),Corona Virus Infection,Placebo|Remdesivir,All,18,99,No,01655-0002|02114-2621|10016-6402|10467-2401|14642-0001|17033|19104-4238|19104-4863|20892-1504|20910-7500|21287-0005|21401-1527|22908-0816|23708|27704|29037|30030-1705|32610-3003|35233|37232-0011|55455-0341|60611-2908|60612|63104-1015|68198-5400|70119|77030-3411|77555-0435|78229-3901|78234|80045|80204|90048-1804|90095|92314|92868-3298|94110-2859|94304-1207|94304-1503|95817-1460|98034|98104-2433|98431|99204,Treatment
NCT04341012,2019-09-10,Recruiting,,Observational,Breath Analysis Based Disease Biomarkers of COVID-19 and Other Diseases,COVID19|Liver Cancer|Liver Diseases,Collection of breath sample,All,18,,Accepts Healthy Volunteers,32224,
NCT03808922,2019-05-23,Recruiting,Phase 3,Interventional,Phase III DAS181 Lower Tract PIV Infection in Immunocompromised Subjects (Substudy: DAS181 for COVID-19): RCT Study,COVID-19|Immunocompromised|Lower Respiratory Tract Infection|Parainfluenza,DAS181|DAS181 COVID-19|DAS181 OL|Placebo,All,,,No,02115|15213|19104|23298|27710|37232|45267|53226|60153|60611|60637|63112|66205|68198|76104|77030|80045|90024|91010|97239|98105|98109,Treatment
